images,improved,worsened,unchanged,mean_improvement_km,latitude,longitude,improved_rate,worsened_rate,unchanged_rate,net_outcome_rate
6,1,2,3,-362.3288566954232,7.5,90.0,0.16666666666666666,0.3333333333333333,0.5,-0.16666666666666666
162,34,48,80,-326.30449562540997,7.5,110.0,0.20987654320987653,0.2962962962962963,0.49382716049382713,-0.08641975308641975
1,1,0,0,0.3516596862433832,7.5,130.0,1.0,0.0,0.0,1.0
36,7,6,23,-452.97075140766447,22.5,-150.0,0.19444444444444445,0.16666666666666666,0.6388888888888888,0.027777777777777776
3,0,2,1,-7074.653772816176,22.5,-110.0,0.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666
106,25,27,54,-216.62201516718528,22.5,-90.0,0.2358490566037736,0.25471698113207547,0.5094339622641509,-0.018867924528301886
21,3,7,11,-450.4177327171594,22.5,-70.0,0.14285714285714285,0.3333333333333333,0.5238095238095238,-0.19047619047619047
2,0,0,2,0.0,22.5,-10.0,0.0,0.0,1.0,0.0
23,4,7,12,-924.8143098825592,22.5,30.0,0.17391304347826086,0.30434782608695654,0.5217391304347826,-0.13043478260869565
8,0,4,4,-388.25471635464737,22.5,50.0,0.0,0.5,0.5,-0.5
29,4,9,16,-258.1548282958865,22.5,70.0,0.13793103448275862,0.3103448275862069,0.5517241379310345,-0.1724137931034483
16,3,5,8,-1433.452438234197,22.5,90.0,0.1875,0.3125,0.5,-0.125
135,19,39,77,-382.8544558050847,22.5,110.0,0.14074074074074075,0.28888888888888886,0.5703703703703704,-0.14814814814814814
2,0,0,2,0.0,22.5,130.0,0.0,0.0,1.0,0.0
138,17,43,78,-885.0121664608749,37.5,-130.0,0.12318840579710146,0.3115942028985507,0.5652173913043478,-0.18840579710144928
124,25,28,71,-737.1367043990233,37.5,-110.0,0.20161290322580644,0.22580645161290322,0.5725806451612904,-0.024193548387096774
148,20,57,71,-1147.603026358372,37.5,-90.0,0.13513513513513514,0.38513513513513514,0.4797297297297297,-0.25
288,58,100,130,-559.5746712476468,37.5,-70.0,0.2013888888888889,0.3472222222222222,0.4513888888888889,-0.14583333333333334
4,0,2,2,-2945.729124228266,37.5,-30.0,0.0,0.5,0.5,-0.5
99,14,32,53,-120.67676030762671,37.5,-10.0,0.1414141414141414,0.32323232323232326,0.5353535353535354,-0.18181818181818182
98,22,31,45,-856.339219417588,37.5,10.0,0.22448979591836735,0.3163265306122449,0.45918367346938777,-0.09183673469387756
120,23,39,58,-589.0920612384475,37.5,30.0,0.19166666666666668,0.325,0.48333333333333334,-0.13333333333333333
23,4,9,10,30.560255652890163,37.5,50.0,0.17391304347826086,0.391304347826087,0.43478260869565216,-0.21739130434782608
19,1,6,12,-487.27458873755484,37.5,70.0,0.05263157894736842,0.3157894736842105,0.631578947368421,-0.2631578947368421
108,19,40,49,-477.69849238162925,37.5,110.0,0.17592592592592593,0.37037037037037035,0.4537037037037037,-0.19444444444444445
121,19,48,54,-775.6838091666435,37.5,130.0,0.15702479338842976,0.39669421487603307,0.4462809917355372,-0.2396694214876033
2,1,0,1,1.4316947767223382,37.5,150.0,0.5,0.0,0.5,0.5
50,6,20,24,-589.2247650606085,52.5,-130.0,0.12,0.4,0.48,-0.28
10,0,0,10,0.0,52.5,-110.0,0.0,0.0,1.0,0.0
6,0,2,4,-871.8161909195072,52.5,-90.0,0.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
6,2,3,1,-651.6523127913305,52.5,-70.0,0.3333333333333333,0.5,0.16666666666666666,-0.16666666666666666
298,43,80,175,-365.6396766954795,52.5,-10.0,0.14429530201342283,0.2684563758389262,0.587248322147651,-0.12416107382550336
439,96,145,198,-203.62467830741534,52.5,10.0,0.21867881548974943,0.33029612756264237,0.4510250569476082,-0.11161731207289294
44,4,16,24,-441.69108934322355,52.5,30.0,0.09090909090909091,0.36363636363636365,0.5454545454545454,-0.2727272727272727
1,0,1,0,-8013.895387345886,52.5,50.0,0.0,1.0,0.0,-1.0
3,0,2,1,-5292.020286897504,52.5,90.0,0.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666
21,3,5,13,-1992.0100576928585,52.5,110.0,0.14285714285714285,0.23809523809523808,0.6190476190476191,-0.09523809523809523
3,1,1,1,-263.57243464708796,52.5,130.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
1,0,0,1,0.0,67.5,-50.0,0.0,0.0,1.0,0.0
7,1,2,4,-1501.3491727274773,67.5,-30.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,-0.14285714285714285
2,0,0,2,0.0,67.5,-10.0,0.0,0.0,1.0,0.0
16,2,4,10,272.51255358040044,67.5,10.0,0.125,0.25,0.625,-0.125
8,2,0,6,154.0269433705851,67.5,30.0,0.25,0.0,0.75,0.25
